id,title,parts,n_parts,date
63a2f02d8899432b937ec783,Important System Design Concepts,"['System Design Basics', 'Key Characteristics of Distributed Systems']",2,28-June-2023
63a2f02d8899434a4c7ec786,Important System Design Concepts,"['Load Balancing', 'Client—Server Model', 'Network Protocols']",3,29-June-2023
63a2f02d88994323757ec78a,Important System Design Concepts,"['Storage', 'Latency And Throughput', 'Availability']",3,30-June-2023
63a2f02d889943917a7ec78e,Important System Design Concepts,"['Caching', 'Data Partitioning', 'Indexes', 'Replication']",4,01-July-2023
63a2f02d88994349447ec793,Important System Design Concepts,"['Sharding', 'Proxies', 'Redundancy', 'SQL vs. NoSQL']",4,02-July-2023
63a2f02d88994372b47ec798,Important System Design Concepts,"['CAP Theorem and', 'PACELC Theorem']",2,03-July-2023
63a2f02d88994342a87ec79b,Important System Design Concepts,"['Consistent Hashing', 'Long Polling vs WebSockets vs Server Sent Events', 'Bloom Filters']",3,04-July-2023
63a2f02d889943ea0f7ec79f,Important System Design Concepts,"['Quorum, Leader and Follower, Heartbeat, Checksum', 'Rate Limiting', 'Logging And Monitoring']",3,05-July-2023
63a2f02d88994306a57ec7a3,Important System Design Concepts,['Security And HTTPS'],1,06-July-2023
63a2f02d889943e0ed7ec7a5,Important System Design Concepts,['API Design'],1,07-July-2023
63a2f02d889943228c7ec7a7,SPRING BOOT,"['What is Spring Framework', 'What is Spring Boot', 'Differences between Spring & Spring Boot']",3,08-July-2023
63a2f02d88994384ce7ec7ab,SPRING BOOT,"['IOC container', 'Dependency Injection a) Setter Injection b) Constructor Injection c) Field Injection', 'Stereotype Annotations a) @Component b) @Service c) @Repository d) @Controller e) @Indexed', 'Spring Boot Overview', 'Pros & Cons of Spring Boot']",5,09-July-2023
63a2f02d88994348b47ec7b1,SPRING BOOT,"['Approaches to create Spring Boot Application', 'Spring Initializer (start.spring.io)', 'Spring Starter Wizard in STS IDE', 'Spring Boot Starters']",4,10-July-2023
63a2f02d88994329157ec7b6,SPRING BOOT,"['What is Start Class in Spring Boot', '@SpringBootApplication annotation internals', 'SpringApplication.run(..) method internals']",3,11-July-2023
63a2f02d889943c1047ec7ba,SPRING BOOT,"['Spring Boot Application Bootstrapping', 'AutoConfiguration in Spring Boot']",2,12-July-2023
63a2f02d88994367c67ec7bd,SPRING DATA JPA,"['What is Persistence Layer', 'Best practices to follow in persistence layer', 'ORM Basics', 'Spring Data JPA Introduction', 'Differences between Spring ORM and Spring Data JPA']",5,13-July-2023
63a2f02d8899437c7a7ec7c3,SPRING DATA JPA,"['CurdRepository introduction', 'CurdRepository methods for DB operations', 'Custom findByXXX method syntax', 'Custom Queries Execution in Data JPA']",4,14-July-2023
63a2f02d8899431fde7ec7c8,SPRING DATA JPA,"['Jpa Repository introduction', 'Jpa Repository methods for DB operations', 'Pagination Using Data JPA methods']",3,15-July-2023
63a2f02d889943df6a7ec7cc,SPRING DATA JPA,"['Sorting Using Data JPA Methods', 'Query By Example Executor', 'Generators', 'Custom Generators in Spring Data']",4,16-July-2023
63a2f02d88994369e77ec7d1,SPRING DATA JPA,"['Embedded Database Introduction', 'Embedded Database vs External Database', 'Application Development using Embedded Database (H2)', 'Application Development Using MYSQL Database']",4,17-July-2023
63a2f02d8899435aff7ec7d6,SPRING DATA JPA,"['Application Development Using PostGreSQL Database', 'Application Development Using MongoDB', 'Profiles in SpringBoot']",3,18-July-2023
63a2f02d889943cae37ec7da,SPRING WEB MVC,"['Spring Web MVC Introduction', 'Spring Web MVC Advantages', 'Spring MVC Architecture', 'Introduction to Front Controller', 'Controllers', 'Handler Mappers', 'View Resolvers']",7,19-July-2023
63a2f02d8899435fea7ec7e2,SPRING WEB MVC,"['Web Application development using Spring Boot', 'Embedded HTTP Servers Introduction', 'a) Embedded Tomcat Server b) Embedded Jetty Server c) Embedded Undertow Server', 'Making Jetty as Default server']",4,20-July-2023
63a2f02d889943e05b7ec7e7,SPRING WEB MVC,"['Web Application Deployment in External Server', 'Sending Data From UI to Controller', 'a) Query Param b) Path Param']",3,21-July-2023
