id,title,parts,n_parts,date
63a2eb4288994379117eb21d,Statistics Advance,"['Estimation', 'A Hypothesis', 'Hypothesis Testing’S Mechanism', 'P-Value', 'T-Stats', 'Student T Distribution']",6,10-Mar-2023
63a2eb428899433e1c7eb224,Statistics Advance,"['T-Stats Vs. Z-Stats: Overview', 'When To Use A T-Tests Vs. Z-Tests', 'Type 1 & Type 2 Error', 'Bayes Statistics (Bayes Theorem)', 'Confidence Interval(Ci)', 'Confidence Intervals And The Margin Of Error']",6,11-Mar-2023
63a2eb428899437b7e7eb22b,Statistics Advance,"['Interpreting Confidence Levels And Confidence Intervals', 'Chi-Square Test', 'Chi-Square Distribution Using Python', 'Chi-Square For Goodness Of Fit Test', 'When To Use Which Statistical Distribution?']",5,12-Mar-2023
63a2eb4288994365ac7eb231,Statistics Advance,"['Analysis Of Variance (Anova)', 'Assumptions To Use Anova', 'Anova Three Type', 'Partitioning Of Variance In The Anova', 'Calculating Using Python']",5,13-Mar-2023
63a2eb42889943eca97eb237,Statistics Advance,"['F-Distribution', 'F-Test (Variance Ratio Test)', 'Determining The Values Of F', 'F Distribution Using Python']",4,14-Mar-2023
63a2eb4288994323317eb23c,Introduction To Machine Learning,"['Ai Vs Ml Vs Dl Vs Ds', 'Supervised, Unsupervised, Semi-Supervised, Reinforcement Learning', 'Train, Test, Validation Split']",3,15-Mar-2023
63a2eb42889943397b7eb240,Introduction To Machine Learning,"['Performance', 'Overfitting, Under Fitting', 'Bias Vs Variance']",3,16-Mar-2023
63a2eb4288994345017eb244,Feature Engineering,"['Handling Missing Data', 'Handling Imbalanced Data', 'Up-Sampling', 'Down-Sampling', 'Smote', 'Data Interpolation', 'Handling Outliers']",7,17-Mar-2023
63a2eb4288994394f87eb24c,Feature Engineering,"['Filter Method', 'Wrapper Method', 'Embedded Methods', 'Feature Scaling', 'Standardization', 'Mean Normalization']",6,18-Mar-2023
63a2eb42889943eb737eb253,Feature Engineering,"['Min-Max Scaling', 'Unit Vector', 'Feature Extraction', 'Pca (Principle Component Analysis)']",4,19-Mar-2023
63a2eb42889943ca437eb258,Feature Engineering,"['Data Encoding', 'Nominal Encoding', 'One Hot Encoding', 'One Hot Encoding With Multiple Categories', 'Mean Encoding']",5,20-Mar-2023
63a2eb4288994371d67eb25e,Feature Engineering,"['Ordinal Encoding', 'Label Encoding', 'Target Guided Ordinal Encoding', 'Covariance', 'Correlation Check']",5,21-Mar-2023
63a2eb4288994357737eb264,Feature Engineering,"['Pearson Correlation Coefficient', 'Spearman’S Rank Correlation', 'Vif']",3,22-Mar-2023
63a2eb428899438bdd7eb268,Feature Selection,"['Feature Selection', 'Recursive Feature Elimination', 'Backward Elimination', 'Forward Elimination']",4,23-Mar-2023
63a2eb428899435ca07eb26d,Exploratory Data Analysis,"['Feature Engineering And Selection.', 'Analyzing Bike Sharing Trends.', 'Analyzing Movie Reviews Sentiment.', 'Customer Segmentation And Effective Cross Selling.']",4,24-Mar-2023
63a2eb428899432eef7eb272,Exploratory Data Analysis,"['Analyzing Wine Types And Quality.', 'Analyzing Music Trends And Recommendations.', 'Forecasting Stock And Commodity Prices']",3,25-Mar-2023
63a2eb4288994360407eb276,Regression,"['Linear Regression', 'Gradient Descent', 'Multiple Linear Regression', 'Polynomial Regression']",4,26-Mar-2023
63a2eb428899439e767eb27b,Regression,"['R Square And Adjusted R Square', 'Rmse, Mse, Mae Comparison', 'Regularized Linear Models']",3,27-Mar-2023
63a2eb428899437a9c7eb27f,Regression,['Ridge Regression'],1,28-Mar-2023
63a2eb428899437c297eb281,Regression,['Lasso Regression'],1,29-Mar-2023
63a2eb4288994356a37eb283,Regression,['Elastic Net'],1,30-Mar-2023
63a2eb4288994340437eb285,Regression,['Complete End-To-End Project With Deployment On Cloud And Ui'],1,31-Mar-2023
63a2eb428899432d667eb287,Logistics Regression,"['Logistics Regression In-Depth Intuition', 'In-Depth Mathematical Intuition', 'In-Depth Geometrical Intuition', 'Hyper Parameter Tuning']",4,1-April-2023
63a2eb4288994325227eb28c,Logistics Regression,"['Grid Search Cv', 'Randomize Search Cv', 'Data Leakage', 'Confusion Matrix']",4,2-April-2023
63a2eb428899438d467eb291,Logistics Regression,"['Precision, Recall, F1 Score, Roc, Auc', 'Best Metric Selection', 'Multiclass Classification In Lr', 'Complete End-To-End Project With Deployment In Multi-Cloud Platform']",4,3-April-2023
63a2eb42889943b6377eb296,Decision Tree,"['Decision Tree Classifier', 'In-Depth Mathematical Intuition', 'In-Depth Geometrical Intuition', 'Confusion Matrix', 'Precision, Recall,  F1 Score, Roc, Auc', 'Best Metric Selection']",6,4-April-2023
63a2eb4288994309737eb29d,Decision Tree,"['Decision Tree Repressor', 'In-Depth Mathematical Intuition', 'In-Depth Geometrical Intuition', 'Performance Metrics', 'Complete End-To-End Project With Deployment In Multi Cloud Platform']",5,5-April-2023
63a2eb428899434e277eb2a3,Support Vector Machines,"['Linear Svm Classification', 'In-Depth Mathematical Intuition', 'In-Depth Geometrical Intuition', 'Soft Margin Classification', 'Nonlinear Svm Classification']",5,6-April-2023
63a2eb428899436b497eb2a9,Support Vector Machines,"['Polynomial Kernel', 'Gaussian, Rbf Kernel', 'Data Leakage', 'Confusion Matrix', 'Precision, Recall, F1 Score , Roc, Auc']",5,7-April-2023
